id.code;u;v
# Santiago Térreo
sa0s10;86;44;Biblioteca
sa0s4-5;30;13;Sala de Estudos
sa0s8;31;86;Secretatira
sa0s9;48;87;Achados e Perdidos

sa1s11;93;81
sa1s10;85;50
sa1s1;85;19
sa1s2;68;0
sa1s3;61;6
sa1s4;50;13
sa1s5;21;13
sa1s7;11;57
sa1s8;17;85
sa1s9;48;87


sa2s11;93;81
sa2s10;85;50
sa2s2;68;0
sa2s3;61;6
sa2s4;50;13
sa2s5;21;13
sa2s6;11;34
sa2s7;11;57
sa2s8;17;85
sa2s9;48;87

sa3s11;93;81
sa3s10;85;50
sa3s2;68;0
sa3s3;61;6
sa3s4;50;13
sa3s5;21;13
sa3s6;11;34
sa3s7;11;57
sa3s8;17;85
sa3s1;85;19


# BAB
bab0s1;9;15
bab0s2;51;28
bab0s3;70;7
bab0s4;90;11



bab1a1;79;7
bab1a2;67;35
bab1a3;67;49
bab1a4;67;64
bab1a5;67;78
bab1a6;67;93
bab1a7;93;93
bab1a8;93;78
bab1a9;93;64
bab1a10;93;49
bab1b1;20;7
bab1b2;34;35
bab1b3;34;49
bab1b4;34;64
bab1b5;34;78
bab1b6;34;93
# bab1b7;7;93
bab1b8;7;78
bab1b9;7;64
bab1b10;7;49


bab2a1;79;7
bab2a2;67;35
bab2a3;67;49
bab2a4;67;64
bab2a5;67;78
bab2a6;67;93
bab2a7;93;93
bab2a8;93;78
bab2a9;93;64
bab2a10;93;49
bab2b1;20;7
bab2b2;34;35
bab2b3;34;49
bab2b4;34;64
bab2b5;34;78
bab2b6;34;93
bab2b61;27;88
bab2b7;7;93
bab2b8;7;78
bab2b9;7;64
bab2b10;7;49

bab3a1;79;7
bab3a2;67;35
bab3a3;67;49
bab3a4;67;64
bab3a5;67;78
bab3a6;67;93
bab3a7;93;93
bab3a8;93;78
bab3a9;93;64
bab3a10;93;49
bab3b1;20;7
bab3b2;34;35
bab3b3;34;49
bab3b4;34;64
bab3b5;34;78
bab3b6;34;93
bab3b7;7;93
bab3b8;7;78
bab3b9;7;64
bab3b10;7;49

bab4a1;79;7
bab4a2;67;35
bab4a3;67;49
bab4a4;67;64
# bab4a5;67;78
bab4a6;67;93
bab4a7;93;93
bab4a8;93;78
bab4a9;93;64
bab4a10;93;49
bab4b1;20;7
bab4b2;34;35
bab4b3;34;49
bab4b4;34;64
bab4b5;34;78
bab4b6;34;93
bab4b7;7;93
bab4b8;7;78
bab4b9;7;64
bab4b10;7;49

bab5a1;79;7
bab5a2;67;35
bab5a3;67;49
bab5a4;67;64
bab5a5;67;78
bab5a6;67;93
bab5a7;93;93
bab5a8;93;78
bab5a9;93;64
bab5a10;93;49
bab5b1;20;7
bab5b2;34;35
bab5b3;34;49
bab5b4;34;64
bab5b5;34;78
bab5b6;34;93
bab5b7;7;93
bab5b8;7;78
bab5b9;7;64
bab5b10;7;49


bab6a1;79;7
bab6b1;20;7




bc0s1;70;55
bc1s1;42;55

