id.code;u;v
# Santiago Térreo
sa0s10;73;31;Biblioteca
sa0s4-5;46;27;Sala estudos
sa0s8;28;72;Secretaria
sa0s9;49;72;Achados e Perdidos


sa1s11;86;69
sa1s10;72;58
sa1s1;72;32
sa1s2;68;27
sa1s3;60;27
sa1s4;46;27
sa1s5;28;27
sa1s7;23;58
sa1s8;29;72
sa1s9;49;72

sa2s11;86;69
sa2s10;72;58
sa2s2;68;27
sa2s3;60;27
sa2s4;46;27
sa2s5;28;27
sa2s6;23;34
sa2s7;23;58
sa2s8;29;72
sa2s9;49;72

sa3s1;72;32
sa3s11;86;69
sa3s10;72;58
sa3s2;68;27
sa3s3;60;27
sa3s4;46;27
sa3s5;28;27
sa3s6;23;34
sa3s7;23;58
sa3s8;29;72

sa0a1;68;0
sa0a2;75;80
sa0a5;33;50
sa0a8;33;44
sa0a9;64;77
sa0a7;33;55

sa0i5;75;93
sa0i6;82;93
sa1i5;75;93
sa1i6;82;93
sa2i5;75;93
sa2i6;82;93
sa3i5;75;93
sa3i5;75;93
sa3i6;82;93

sa0i7;40;40
sa0i8;40;50
sa0i9;40;60
sa1i7;40;40
sa1i8;40;50
sa1i9;40;60
sa2i7;40;40
sa2i8;40;50
sa2i9;40;60
sa3i7;40;40
sa3i8;40;50
sa3i9;40;60


sa0i1;27;32
sa0i2;27;67
sa0i3;68;67
sa0i4;68;32

sa1a2;75;80
sa1a3;82;80
sa1a4;33;39
sa1a6;33;60
sa1a5;33;50
sa1a8;33;44
sa1a9;64;77
sa1a7;33;55

sa1i1;27;32
sa1i2;27;67
sa1i3;68;67
sa1i4;68;32

sa2a2;75;80
sa2a3;82;80
sa2a4;33;39
sa2a6;33;60
sa2a5;33;50
sa2a8;33;44
sa2a9;64;77
sa2a7;33;55

sa2i1;27;32
sa2i2;27;67
sa2i3;68;67
sa2i4;68;32

sa3a2;75;80
sa3a3;82;80
sa3a4;33;39
sa3a6;33;60
sa3a5;33;50
sa3a8;33;44
sa3a9;64;77
sa3a7;33;55

sa3i1;27;32
sa3i2;27;67
sa3i3;68;67
sa3i4;68;32

sa0i21;75;74
sa0i31;82;74
sa1i21;75;74
sa1i31;82;74
sa2i21;75;74
sa2i31;82;74
sa3i21;75;74
sa3i31;82;74


# BAB
bab0s1;17;18
bab0s2;49;23
bab0s3;75;11
bab0s4;78;17
bab0a1;50;13

bab0i1;51;19
bab0i2;67;19
bab0i3;33;19
bab1i1;51;19
bab1i2;80;17
bab1i3;33;19
bab2i1;51;19
bab2i2;80;17
bab2i3;33;19
bab3i1;51;19
bab3i2;80;17
bab3i3;33;19
bab4i1;51;19
bab4i2;80;17
bab4i3;33;19
bab5i1;51;19
bab5i2;80;17
bab5i3;33;19
bab6i1;51;19
bab6i2;80;17
bab6i3;33;19


bab1a1;64;14
bab1a2;74;35
bab1a3;74;49
bab1a4;74;64
bab1a5;74;78
bab1a6;74;93
bab1a7;86;93
bab1a8;86;78
bab1a9;86;64;
bab1a10;86;49
bab1b1;36;14
bab1b2;27;35
bab1b3;27;49
bab1b4;27;64
bab1b5;27;78
bab1b6;27;93
# bab1b7;14;93
bab1b8;14;78
bab1b9;14;64
bab1b10;14;49

bab2a1;64;14
bab2a2;74;35
bab2a3;74;49
bab2a4;74;64
bab2a5;74;78
bab2a6;74;93
bab2a7;86;93
bab2a8;86;78
bab2a9;86;64;
bab2a10;86;49
bab2b1;36;14
bab2b2;27;35
bab2b3;27;49
bab2b4;27;64
bab2b5;27;78
bab2b6;27;93
bab2b61;34;88
bab2b7;14;93
bab2b8;14;78
bab2b9;14;64
bab2b10;14;49

bab3a1;64;14
bab3a2;74;35
bab3a3;74;49
bab3a4;74;64
bab3a5;74;78
bab3a6;74;93
bab3a7;86;93
bab3a8;86;78
bab3a9;86;64;
bab3a10;86;49
bab3b1;36;14
bab3b2;27;35
bab3b3;27;49
bab3b4;27;64
bab3b5;27;78
bab3b6;27;93
bab3b7;14;93
bab3b8;14;78
bab3b9;14;64
bab3b10;14;49

bab4a1;64;14
bab4a2;74;35
bab4a3;74;49
bab4a4;74;64
# bab4a5;74;78
bab4a6;74;93
bab4a7;86;93
bab4a8;86;78
bab4a9;86;64;
bab4a10;86;49
bab4b1;36;14
bab4b2;27;35
bab4b3;27;49
bab4b4;27;64
bab4b5;27;78
bab4b6;27;93
bab4b7;14;93
bab4b8;14;78
bab4b9;14;64
bab4b10;14;49


bab5a1;64;14
bab5a2;74;35
bab5a3;74;49
bab5a4;74;64
bab5a5;74;78
bab5a6;74;93
bab5a7;86;93
bab5a8;86;78
bab5a9;86;64;
bab5a10;86;49
bab5b1;36;14
bab5b2;27;35
bab5b3;27;49
bab5b4;27;64
bab5b5;27;78
bab5b6;27;93
bab5b7;14;93
bab5b8;14;78
bab5b9;14;64
bab5b10;14;49


bab6a1;64;14
bab6b1;36;14



# escadas
bab0e2;84;25
bab0e3;84;29
bab0e4;15;25
bab0e5;15;29
bab0ie1;85;25
bab0ie2;96;25
bab0ie3;96;29
bab0ie4;85;29
bab0ie5;12;24
bab0ie6;2;24
bab0ie7;2;27
bab0ie8;12;27


bab1e2;83;20
bab1e3;83;24
bab1e4;16;19
bab1e5;16;22
bab1ie1;85;25
bab1ie2;96;25
bab1ie3;96;29
bab1ie4;85;29
bab1ie5;14;19
bab1ie6;4;19
bab1ie7;4;22
bab1ie8;14;22

bab2e2;83;20
bab2e3;81;29
bab2e4;16;19
bab2e5;16;22
bab2ie1;85;25
bab2ie2;96;25
bab2ie3;96;29
bab2ie4;85;29
bab2ie5;14;19
bab2ie6;4;19
bab2ie7;4;22
bab2ie8;14;22

bab3e2;83;20
bab3e3;81;29
bab3e4;16;19
bab3e5;16;22
bab3ie1;85;25
bab3ie2;96;25
bab3ie3;96;29
bab3ie4;85;29
bab3ie5;14;19
bab3ie6;4;19
bab3ie7;4;22
bab3ie8;14;22

bab4e2;83;20
bab4e3;81;29
bab4e4;16;19
bab4e5;16;22
bab4ie1;85;25
bab4ie2;96;25
bab4ie3;96;29
bab4ie4;85;29
